DeviceName,Version,Match
a,1,Intel(R) Dynamic Platform & Thermal Framework,11.7.700.202,http://www.adobe.com/go/flashplayer_support/,,
a,1,CyberLink PowerDVD 10,10.0.3809.52,http://support.gocyberlink.com/,c:\Program Files (x86)\CyberLink\PowerDVD10\,c:\util\powerdvd\
a,1,Windows Live Essentials,11.7.700.202,http://www.adobe.com/go/flashplayer_support/,,
a,1,Dashboard for Panasonic PC,2.05.1003.00,,C:\Program Files (x86)\Panasonic\DBoard,c:\util\dboard53\
a,1,Windows Live Installer,15.4.3502.0922,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b7eba3591ce14ce08\
a,0,DevUp Service,,,,
a,0,PC Information Viewer,7.7.1000.0,,C:\Program Files (x86)\Panasonic\pcinfo,C:\util\pcinfo\
a,1,MSXML 4.0 SP3 Parser,4.30.2100.0,http://www.msdn.microsoft.com/xml,c:\Windows\SysWOW64\,c:\util\sonic\MSXMLMSI_40SP3\
a,1,Junk Mail filter update,15.4.3502.0922,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b7eba3591ce14ce08\
a,1,Windows Live SOXE Definitions,15.4.3502.0922,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b7eba3591ce14ce08\
a,1,Intel(R) USB 3.0 eXtensible Host Controller Driver,11.7.700.202,http://www.adobe.com/go/flashplayer_support/,,
a,1,Roxio Creator LJB,1.0.520,http://support.roxio.com,c:\Program Files (x86)\Roxio 2010\OEM\,c:\util\sonic\MYDVD2010\
a,1,Intel(R) Rapid Storage Technology,11.7.700.202,http://www.adobe.com/go/flashplayer_support/,,
a,1,USB Selective Suspend Manager,2.2.1000.100,,C:\Program Files (x86)\Panasonic\Selsussv,C:\util\selsussv\
a,0,Common Components for Panasonic PC (x64),3.0.1300.0,,C:\Program Files (x86)\Panasonic\pcomn64\,C:\Program Files (x86)\Panasonic\pcomn64\{38B9A393-F0F1-4E7D-936B-29CA53778A4A}\
a,0,Common Components for Panasonic PC,3.0.1300.0,,C:\Program Files (x86)\Panasonic\pcommon\,C:\Program Files (x86)\Panasonic\pcommon\{4AC7E727-BB02-4973-B477-AF116A37AA96}\
a,1,Windows Live UX Platform Language Pack,15.4.3508.1109,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b94269801ce14ce1b\
a,1,Roxio BackOnTrack,1.3.3,,C:\Program Files (x86)\Roxio 2010\OEM\,c:\util\sonic\BCP_CORE_131\
a,0,Panasonic Notification,1.4.1200.0,,C:\Program Files (x86)\Panasonic\PNotif,C:\util\pnotif\
a,1,Intel(R) Management Engine Components,11.7.700.202,http://www.adobe.com/go/flashplayer_support/,,
a,1,Windows Live SOXE,15.4.3502.0922,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b7eba3591ce14ce08\
a,2,Calibration Utility,1.4.1200.0,,C:\Program Files (x86)\Panasonic\PNotif,C:\util\pnotif\
a,1,Roxio Creator LJB,5.0.0,http://support.sonic.com/,c:\Program Files (x86)\Roxio 2010\OEM\,c:\util\sonic\ROXIOCENTRAL_50OEM\
a,0,Microsoft Visual C++ 2005 Redistributable,8.0.61001,,,C:\Users\Isabel\AppData\Local\Temp\IXP000.TMP\
a,1,Windows Live PIMT Platform,15.4.3508.1109,,,C:\Program Files (x86)\Common Files\Windows Live\.cache\b94269801ce14ce1b\
a,1,Roxio Creator LJB,12.1.10.16,http://www.roxio.com/,C:\Program Files (x86)\Roxio 2010\OEM,
a,0,Microsoft Silverlight,,,,
